cart_item_id,cart_id,product_id,quantity
1,739,7786,2
2,4085,9297,3
3,4139,264,4
4,9447,7450,5
5,5809,9217,3
6,2288,6155,3
7,9415,5846,2
8,2529,3417,2
9,6888,4379,3
10,615,7862,2
11,4377,6449,4
12,8841,5455,5
13,4320,5715,3
14,1751,9288,5
15,9847,996,4
16,2618,8941,4
17,4100,2752,2
18,948,6917,3
19,9601,7993,2
20,5171,8350,5
21,2746,5797,5
22,5866,3292,1
23,8766,5666,3
24,1655,7416,2
25,4760,7140,2
26,1273,252,2
27,4137,1848,3
28,167,82,2
29,7612,6822,5
30,5596,9828,2
31,5947,1687,4
32,9342,1092,5
33,923,4258,5
34,2566,645,3
35,6651,4479,4
36,6262,3932,2
37,474,3649,1
38,1346,4679,5
39,9879,6150,3
40,3223,7403,5
41,7330,6178,4
42,1913,4046,3
43,5768,8246,2
44,6732,1554,2
45,2147,3333,3
46,8368,4856,5
47,800,6406,5
48,6843,2321,5
49,6682,3819,1
50,4266,6274,1
51,7363,2252,1
52,7983,6851,5
53,8985,753,2
54,7733,8485,3
55,1274,3427,1
56,7754,931,4
57,1067,4084,5
58,3302,5811,2
59,848,8872,2
60,2906,7539,1
61,3336,2773,4
62,3689,3733,5
63,9251,613,1
64,2545,1333,5
65,5431,5234,1
66,5250,6518,3
67,3694,8150,1
68,3412,6616,1
69,9759,9748,5
70,6103,3717,3
71,4115,5231,5
72,7828,7619,2
73,1516,8608,4
74,8370,4840,3
75,7495,925,3
76,246,8213,3
77,7078,8809,2
78,9651,2438,1
79,6272,2246,5
80,7098,6937,1
81,6923,7311,1
82,763,2780,4
83,5121,4384,3
84,2464,5982,3
85,1956,1735,2
86,3663,7467,4
87,8068,9964,4
88,2000,971,3
89,7222,4702,5
90,6081,5100,4
91,6994,5810,2
92,5167,6292,5
93,9282,716,1
94,4851,7715,3
95,1154,4601,4
96,6291,1248,4
97,9131,5635,5
98,3372,427,5
99,8320,2998,5
100,1276,4991,2
101,7287,4413,5
102,1701,3403,5
103,638,3085,1
104,2020,8886,5
105,2204,1492,5
106,5140,8054,3
107,9947,9409,5
108,129,9740,5
109,6922,7356,5
110,6929,4270,3
111,154,1410,1
112,4524,1419,4
113,3426,1172,5
114,7685,3522,5
115,8212,5078,5
116,4605,6547,2
117,6157,7039,1
118,9353,5453,4
119,4329,4513,3
120,2697,6572,2
121,7272,3250,5
122,5660,741,5
123,7401,2120,3
124,7490,847,5
125,4424,1219,4
126,2202,1294,1
127,3612,428,5
128,9065,3715,3
129,217,6218,4
130,9451,2061,1
131,3283,4980,5
132,3798,7285,4
133,4891,3249,4
134,2243,7556,3
135,4394,4793,5
136,8902,6337,4
137,4197,267,5
138,8961,9765,2
139,7799,8904,2
140,7160,8558,3
141,5040,2223,2
142,7407,6597,4
143,1637,7398,5
144,8113,3731,3
145,9476,2337,2
146,3223,6714,5
147,9122,4430,1
148,9577,198,1
149,5416,1693,1
150,7217,1849,3
151,7354,6986,2
152,9280,2867,1
153,2907,1026,3
154,8199,6704,1
155,569,5211,5
156,3435,2806,2
157,3202,8919,5
158,9819,4155,2
159,805,6883,5
160,9132,2468,2
161,7724,9632,3
162,8,4686,5
163,2146,3616,3
164,6774,1409,3
165,2077,5109,5
166,6122,9452,1
167,4976,4195,4
168,1308,4277,2
169,2855,380,5
170,4235,9212,5
171,5603,341,4
172,8185,8404,1
173,3790,9356,1
174,4337,9081,5
175,928,7982,4
176,3327,8686,5
177,6140,5434,4
178,1323,7490,5
179,2683,1252,1
180,1859,2228,4
181,6042,2407,1
182,840,9215,1
183,3352,1461,4
184,8248,9488,1
185,50,4170,5
186,8293,2035,2
187,2359,9424,3
188,4689,1555,4
189,7477,67,5
