category_id,category_name,description,parent_category_id
1,Category 1,Talk list choice many.,
2,Category 2,Language market staff dream account.,
3,Category 3,Keep draw professional radio rich evidence loss research.,
4,Category 4,Mrs throw this.,
5,Category 5,Bar management political officer.,
6,Category 6,Well look perform discover cause without.,
7,Category 7,Question wonder hold place.,
8,Category 8,Machine leave hard score get wish.,
9,Category 9,Need develop foreign heavy issue several relate.,
10,Category 10,Child box political impact.,
11,Category 11,Answer bad career somebody door out example former.,4
12,Category 12,Political outside protect reason him try experience.,2
13,Category 13,Black real behavior.,8
14,Category 14,List much law under cultural night.,4
15,Category 15,Class fine major against although letter.,6
16,Category 16,Television door human size page have.,7
17,Category 17,Use real firm media.,1
18,Category 18,Learn provide now.,7
19,Category 19,Fund level today chance charge prepare keep.,5
20,Category 20,Collection talk could first.,2
21,Category 21,One control letter cover professional.,6
22,Category 22,Particularly television more power ahead authority.,1
23,Category 23,Color sport change past.,1
24,Category 24,Manage stock agree size affect ability.,1
25,Category 25,Available fall five suffer analysis exist special listen.,2
26,Category 26,Another control water tree interview state.,1
27,Category 27,Wish hour drug employee especially along.,8
28,Category 28,Class magazine remain maintain.,4
29,Category 29,Early far join type.,7
30,Category 30,Analysis cold ground effect language.,6
31,Category 31,Congress let hot act though.,3
32,Category 32,Nice reduce lose.,3
33,Category 33,Mission meet old laugh attorney.,3
34,Category 34,End event important back million trouble person.,2
35,Category 35,Bar address first man hold very.,8
36,Category 36,Foot no individual them avoid me listen.,6
37,Category 37,Probably coach answer become.,4
38,Category 38,Produce sort worry how maybe check computer.,2
39,Category 39,Happen argue why future least see.,6
40,Category 40,Take arm discuss possible property south popular.,8
41,Category 41,About away science hotel power think long matter.,2
42,Category 42,The Mrs back almost rule manager make make.,3
43,Category 43,Enjoy fast modern plant.,6
44,Category 44,Firm agreement specific these save.,1
45,Category 45,System top skill during.,5
46,Category 46,Expert maybe pretty yard.,3
47,Category 47,Throw president movement decide consider.,8
48,Category 48,Situation Mr surface while sign.,10
49,Category 49,Prepare deep could level fast center special significant.,2
50,Category 50,Kid involve trade consider.,5
51,Category 51,Bed eight same feeling when long fight.,5
52,Category 52,Agent some south more similar thing.,5
53,Category 53,Soldier example growth suggest recent.,6
54,Category 54,Behavior party financial together hit structure nice.,10
55,Category 55,Should whole play thus including research.,7
56,Category 56,Customer performance show.,9
57,Category 57,Window eye financial.,2
58,Category 58,Page food create resource art word.,1
59,Category 59,Factor American for agent fill.,10
60,Category 60,More hair focus.,2
61,Category 61,Anyone check box woman perform trip.,7
62,Category 62,Deal true always sister at let.,1
63,Category 63,Possible sell save operation computer window reflect.,2
64,Category 64,Meet many fight.,5
65,Category 65,Against information main amount staff.,8
66,Category 66,Bank place response mind.,1
67,Category 67,Like these yourself eat these nation notice.,3
68,Category 68,Ago issue indicate first family yet dog here.,8
69,Category 69,Season decision opportunity throughout yet.,10
70,Category 70,Treat day occur office foreign mouth skill.,10
71,Category 71,Bill instead cause.,5
72,Category 72,Step claim system natural bag available everyone score.,5
73,Category 73,Feel important personal behavior father.,5
74,Category 74,Become head create include.,10
75,Category 75,Actually live fight happy.,10
76,Category 76,Interview serve notice least week.,2
77,Category 77,Challenge Democrat natural situation institution.,9
78,Category 78,Watch form hair music customer.,5
79,Category 79,Rather well traditional try story court.,9
80,Category 80,Whether he close rather care fill.,6
81,Category 81,All report trade worry likely without.,10
82,Category 82,Century police road effect history decide.,2
83,Category 83,Follow since lawyer environmental into from.,5
84,Category 84,Outside watch week important listen white.,7
85,Category 85,Relate out toward kitchen red spring part.,8
86,Category 86,Risk public available music adult stop now.,4
87,Category 87,Relationship spend building somebody.,8
88,Category 88,Tonight trip piece seek.,3
89,Category 89,Daughter student scene wrong investment its.,2
90,Category 90,Authority though plant long win.,3
91,Category 91,Little food western address box sea probably.,10
92,Category 92,Near technology result event dream.,8
93,Category 93,Moment from read time conference wish.,1
94,Category 94,Democrat law situation risk.,9
95,Category 95,Visit have run appear appear.,3
96,Category 96,Look never like.,6
97,Category 97,Behind husband sit which floor.,6
98,Category 98,Language east buy need president.,5
99,Category 99,General degree save seek.,9
100,Category 100,All know enough its pattern different.,6
