order_id,user_id,order_date,status,total_amount
1,9416,2024-02-14 16:57:59.561041,pending,5947.08
2,7147,2024-05-26 09:28:56.835523,cancelled,1319.19
3,313,2024-03-22 13:59:23.758107,pending,5108.51
4,5932,2024-09-22 14:25:38.117836,confirmed,0
5,3029,2024-03-03 11:08:31.562462,pending,3901.26
6,9559,2023-12-10 22:17:30.812444,shipped,3604.32
7,3273,2024-04-12 04:53:39.637279,pending,2379.2
8,1592,2024-02-22 20:16:50.144031,cancelled,1800.28
9,646,2024-05-27 06:31:00.751783,confirmed,3466.41
10,8097,2024-06-05 01:20:44.645968,confirmed,4684.77
11,1872,2024-06-02 08:02:19.488489,pending,658.03
12,4014,2023-11-12 07:52:50.150183,cancelled,6929.51
13,1776,2024-07-08 11:07:51.164505,pending,5011.02
14,1506,2024-05-26 04:10:33.241566,shipped,7198.4
15,727,2023-10-20 05:14:29.509773,confirmed,11611.79
16,300,2024-02-02 16:03:35.125445,shipped,5182.69
17,4110,2024-08-13 18:34:16.410410,cancelled,2057.64
18,5978,2024-01-09 03:49:29.502540,cancelled,3357.74
19,2180,2024-02-20 21:48:39.740436,cancelled,5241.95
20,6598,2024-09-17 01:21:42.624433,confirmed,7553.8
21,9899,2024-02-29 23:47:42.030813,delivered,1671.22
22,6186,2024-05-14 12:02:03.774232,shipped,2259.06
23,870,2024-03-30 03:22:19.768508,delivered,1761.07
24,7307,2024-02-17 13:51:21.570650,pending,1894.17
25,8435,2023-11-03 13:06:13.444361,shipped,7717.73
26,4055,2024-02-01 09:29:42.450959,confirmed,4864.35
27,7521,2023-11-02 00:14:51.340703,pending,1335.53
28,4089,2024-07-16 01:30:08.945764,pending,8044.13
29,199,2024-07-18 18:30:08.485165,delivered,584.5
30,7191,2024-07-29 20:50:17.147006,delivered,9555.89
31,9631,2024-05-05 16:23:26.337104,cancelled,1309.98
32,2262,2024-06-19 00:06:56.699500,cancelled,0
33,4661,2023-10-30 14:56:36.391421,delivered,2800.77
34,3138,2024-06-04 22:16:11.576591,shipped,2188.1
35,4603,2024-06-02 06:18:31.878385,cancelled,1634.01
36,2110,2023-12-08 23:10:30.751310,delivered,2795.67
37,8933,2024-01-18 18:34:48.700056,shipped,5287.76
38,5221,2024-06-18 11:04:26.655203,cancelled,3398.06
39,7146,2023-12-30 03:18:31.915575,shipped,0
40,6109,2024-06-19 20:27:05.360541,cancelled,17157.95
41,4087,2023-12-01 19:13:55.719121,shipped,4910.37
42,8899,2024-10-01 16:12:19.296971,delivered,7187.19
43,810,2024-05-03 06:07:57.767967,delivered,4869.86
44,2921,2023-11-28 11:56:16.303556,pending,7239.67
45,9164,2024-01-01 02:33:56.015145,cancelled,5108.06
46,4102,2024-09-10 15:31:19.926743,pending,2653.84
47,3714,2024-07-21 23:11:41.528879,pending,0
48,5743,2024-07-24 16:27:38.625438,delivered,0
49,9946,2024-02-22 07:46:17.550571,delivered,12699.89
50,514,2024-07-12 00:43:02.973936,shipped,2361.35
51,430,2024-07-20 13:05:11.962999,pending,3582.51
52,8893,2023-11-21 03:33:37.484155,delivered,9905.43
53,6844,2024-05-04 12:33:31.625311,delivered,6338.75
54,4323,2024-05-29 08:02:24.414142,delivered,2366.48
55,9376,2024-07-04 17:06:58.033760,pending,3225.9
56,8105,2024-07-15 09:47:38.597314,shipped,8092.96
57,4489,2024-02-21 07:22:28.897151,confirmed,10609.59
58,8280,2024-06-08 21:09:55.586272,confirmed,3838.6
59,1794,2024-08-30 02:55:10.156787,confirmed,3400.04
60,1827,2024-01-04 16:14:50.954320,shipped,1928.42
61,3185,2023-11-07 23:58:48.702415,delivered,3247.43
62,2337,2024-01-02 16:20:22.627242,pending,3259.83
63,3776,2023-12-21 14:28:18.904793,pending,861.16
64,5988,2024-04-27 10:03:54.704341,pending,8525.25
65,3959,2024-05-15 22:20:11.100887,cancelled,5749.68
66,1545,2024-04-22 04:24:56.784924,pending,1804.79
67,6,2024-01-01 14:44:56.062806,shipped,4404.84
68,728,2023-12-27 12:25:37.036598,confirmed,4880.95
69,3504,2024-05-16 19:18:50.476704,delivered,4485.71
70,8427,2024-01-08 20:21:34.730874,confirmed,3593.08
71,3223,2024-04-16 07:37:20.023411,shipped,991.97
72,6603,2023-12-10 12:30:15.356658,confirmed,2259.8
73,9652,2024-05-06 23:09:39.645863,delivered,3788.97
74,74,2023-12-29 15:33:34.491466,delivered,12330.96
75,7516,2024-06-24 01:22:11.249413,confirmed,5210.36
76,4874,2024-01-07 01:57:08.263337,cancelled,907.17
77,910,2024-07-09 07:48:42.514361,cancelled,1019.72
78,2504,2024-04-07 00:40:37.052341,pending,9756.41
79,934,2024-06-12 20:59:19.459489,shipped,1997.91
80,4068,2023-10-26 04:08:29.654112,delivered,0
81,8757,2024-07-31 00:13:19.684444,shipped,2814.38
82,3956,2024-09-29 21:52:11.492470,confirmed,4060.64
83,4830,2024-07-16 14:38:52.776672,pending,3944.12
84,7924,2023-10-22 10:45:55.427786,cancelled,5591.87
85,6192,2024-04-01 14:36:18.321470,cancelled,1933.67
