order_item_id,order_id,product_id,quantity,price_per_unit
1,3683,4500,5,576.19
2,1107,9451,2,662.13
3,4334,9446,4,50.39
4,16051,7506,3,64.2
5,15207,1920,1,912.34
6,4136,9976,5,515.48
7,7719,9751,2,444.31
8,17220,2728,3,830.88
9,13643,5851,5,90.23
10,1095,4251,4,283.21
11,835,9697,3,846.68
12,11877,9004,3,294.34
13,6931,3317,1,626.37
14,7827,551,2,504.25
15,7866,3548,2,287.51
16,2689,8135,1,434.97
17,12982,1327,3,935.88
18,18175,6337,1,400.51
19,15028,9541,1,866.43
20,7766,9896,2,606.0
21,16607,8941,5,839.9
22,9917,6562,3,64.76
23,7051,4717,5,439.73
24,11205,2034,3,83.08
25,8234,1543,1,694.6
26,11595,9,2,676.7
27,13332,8888,4,735.92
28,3165,2408,5,316.57
29,18825,7759,3,229.2
30,11130,730,1,596.84
31,9885,6560,5,999.68
32,7775,3212,5,873.32
33,11519,6323,3,674.83
34,18622,8020,4,586.65
35,829,8431,1,504.57
36,7568,4660,3,44.85
37,13579,34,2,158.58
38,3934,3360,5,994.14
39,3722,3494,3,293.11
40,3885,483,5,555.97
41,10602,3459,2,801.98
42,2645,5065,4,195.51
43,9646,609,5,888.54
44,8836,4895,3,472.17
45,110,9813,1,906.46
46,6014,1909,1,879.1
47,8172,985,3,907.81
48,186,8339,2,264.86
49,4833,3804,3,376.81
50,17266,9872,3,539.63
51,4913,8268,2,705.74
52,3440,5442,1,936.21
53,7371,7784,5,374.97
54,8551,3703,5,541.43
55,16435,697,3,490.68
56,2290,9377,5,37.58
57,12000,5,1,843.75
58,12839,452,1,814.8
59,19302,5607,3,759.32
60,5349,8899,5,304.03
61,19002,7424,3,665.44
62,2746,4483,1,194.56
63,19729,5721,2,125.19
64,18618,4528,3,805.85
65,15109,3446,1,465.92
66,17282,9559,3,475.17
67,1265,6613,5,340.58
68,17901,6736,5,615.89
69,12141,3130,5,172.38
70,2997,5110,3,790.28
71,8176,4361,2,906.54
72,6784,2736,3,179.33
73,18315,6573,2,154.66
74,14524,9639,4,509.81
75,8041,8197,5,816.89
76,7865,524,4,798.8
77,890,7183,3,251.13
78,5894,9605,1,279.53
79,11643,5233,1,622.1
80,2292,2804,1,30.32
81,8306,2987,5,916.72
82,16649,5637,5,721.42
83,5093,2834,3,549.73
84,967,3256,4,279.34
85,8681,3707,5,549.9
86,10681,4189,5,510.1
87,5539,2649,2,990.1
88,16234,4772,5,308.57
89,16917,2711,1,275.07
90,3682,3629,1,448.55
91,5372,1462,5,768.38
92,1502,9577,3,209.17
93,810,6588,1,370.93
94,323,588,1,970.64
95,4529,320,2,154.22
96,13747,7057,5,955.77
97,2178,7631,4,848.56
98,5488,9855,1,60.39
99,19859,7730,4,650.04
100,19213,8818,2,53.02
101,10515,7127,4,127.57
102,17068,1402,4,832.12
103,19937,5925,1,162.17
104,286,634,3,593.1
105,16217,991,4,642.75
106,18763,7646,3,766.59
107,10364,8889,2,29.23
108,14803,6395,1,468.69
109,19349,2424,3,554.01
110,6017,8328,2,97.73
111,5949,9533,4,286.11
112,12638,3141,5,45.41
113,16410,5968,1,965.1
114,7559,8300,4,878.18
115,17071,4650,3,913.25
116,13841,9705,4,587.93
117,13716,5246,2,460.51
118,4799,222,1,569.3
119,11626,1240,5,73.66
120,15272,7373,3,283.01
121,6639,2061,2,970.51
122,8497,623,5,689.61
123,13635,8525,5,627.74
124,16965,292,1,370.28
125,10859,7623,2,412.09
126,2955,6586,5,528.5
127,13047,5013,3,271.37
128,11515,7750,2,487.01
129,6610,109,2,595.64
130,10605,1257,4,365.45
131,9053,1881,2,118.33
132,1552,9137,3,220.02
133,9647,7177,1,49.94
134,6789,8361,2,322.93
135,12145,1889,5,786.33
136,19313,3550,5,288.06
137,14293,9323,5,304.59
138,19403,2447,2,23.77
139,14632,1834,3,874.85
140,13302,7554,5,301.63
141,8771,7942,5,49.94
142,10628,9839,1,475.78
143,5822,7936,1,834.55
144,3559,4741,4,515.99
145,14570,4534,2,936.27
146,8599,2496,3,102.66
147,836,6299,2,192.35
148,9435,2605,2,534.28
149,2784,2465,5,753.17
150,8910,3663,1,776.08
151,7389,5824,2,110.42
152,17017,2999,2,162.29
153,11317,5622,1,380.84
154,9525,8647,3,450.07
155,2138,3129,3,96.57
156,5389,5016,4,695.18
157,12894,9940,1,516.81
158,3228,3459,2,801.98
159,13423,5800,5,86.83
160,3055,5289,4,421.58
161,14214,7997,5,252.82
162,1624,909,2,676.44
163,10367,6228,2,496.58
164,7860,2007,4,468.61
165,6076,7161,3,377.79
166,7434,1899,2,825.87
167,11015,7722,2,728.95
168,4331,2333,1,379.32
169,6249,5308,2,978.66
170,11890,3159,2,863.26
171,19289,7258,1,967.37
172,16543,774,5,885.91
173,7832,1063,4,395.94
174,6607,7942,4,49.94
175,14054,1732,2,202.22
176,1944,9898,5,546.41
177,8302,7906,4,656.56
178,3723,2614,2,739.87
179,14823,2296,1,80.98
180,53,8514,1,284.15
181,2939,3451,5,796.79
182,2651,6911,5,326.41
183,17621,3645,1,36.13
184,6021,4960,1,173.21
185,17993,7063,4,113.6
186,3902,4577,2,896.11
187,11037,2275,1,709.87
188,19391,3794,5,455.78
189,6507,3685,2,888.31
190,13923,919,4,195.84
191,18149,7534,1,945.58
192,4771,4564,5,960.83
193,9253,3065,4,85.04
194,367,426,1,298.2
195,7425,8481,1,629.07
196,5440,591,1,123.83
197,2713,3047,2,438.58
198,17230,9719,4,11.99
199,3677,5645,5,109.6
200,13074,6182,4,963.33
201,6383,6543,5,244.98
202,12004,8111,4,88.13
203,16990,840,3,448.95
204,6523,48,3,627.45
205,5052,6275,3,229.06
206,12437,9549,4,136.81
207,13197,6927,5,615.7
208,9224,6320,2,838.21
209,17814,2448,4,979.09
210,12668,6234,4,564.05
211,15424,2949,4,298.77
212,12401,876,4,131.57
213,264,4245,4,837.11
214,11984,6572,5,298.95
215,19639,1244,2,681.07
216,13312,8216,5,270.25
217,12485,9166,2,608.23
218,19636,4801,1,466.75
219,995,6728,5,999.53
220,10193,4634,3,821.18
221,11964,4465,4,422.39
222,115,5984,5,12.0
223,19540,5041,2,777.01
224,3116,5635,5,393.86
225,2750,3132,5,226.03
226,173,1549,3,768.59
227,9073,8223,5,146.07
228,15571,5117,3,904.74
229,1715,6037,4,227.72
230,14080,8195,1,953.33
231,13817,4643,2,895.2
232,13384,4367,2,354.46
233,17108,1206,1,265.52
234,16852,5611,5,723.6
235,4745,990,3,56.96
236,16923,2027,2,939.23
237,17921,9087,2,713.75
238,13217,7018,1,540.7
239,2388,6494,3,951.49
240,1285,9342,1,122.19
241,7881,1167,4,351.29
242,4512,517,2,459.27
243,9833,9532,3,155.53
244,17274,2502,5,332.87
245,5544,4639,5,677.33
246,4720,2501,2,555.0
247,12829,1297,3,87.56
248,14457,1420,5,171.14
249,14739,391,5,807.24
250,7857,9388,4,445.69
251,11240,7559,1,596.79
252,1287,2759,2,558.21
253,12813,7555,5,715.32
254,7246,1839,5,511.2
255,13237,3698,4,577.78
256,1000,7732,4,126.47
257,5882,4646,1,137.41
258,19091,5214,3,365.07
259,2783,4392,1,163.06
260,19424,6573,4,154.66
261,9323,8927,3,912.41
262,7432,4104,4,794.35
263,11130,300,2,892.87
264,457,6372,4,435.23
265,19189,6169,4,869.11
266,9573,4647,5,99.27
267,1468,3146,1,923.55
268,7465,7720,4,689.68
269,1304,8435,2,941.17
270,1770,7509,3,809.1
271,12346,8698,3,141.35
272,8432,7802,1,720.6
273,18015,931,2,779.38
274,10364,8171,4,204.7
275,6641,315,5,665.96
276,18498,8555,4,232.56
277,1436,598,3,829.3
278,2131,7999,2,591.66
279,10593,8956,3,289.44
280,18351,1270,3,40.32
281,10996,2902,1,302.01
282,2458,7787,3,341.09
283,10459,3990,1,948.52
284,1217,5194,2,876.37
285,7466,4095,4,736.04
286,19328,3221,2,295.59
287,8447,6497,1,921.68
288,11170,2116,1,304.84
289,13911,7217,2,59.2
290,6477,9507,4,468.07
291,15111,1116,1,937.78
292,8877,424,5,59.97
293,11546,3655,4,128.31
294,3900,5364,5,820.85
295,11287,1030,2,656.16
296,15607,8235,4,803.55
297,9050,4031,4,733.35
298,19804,8014,5,37.91
299,7475,160,1,775.96
300,10670,1967,5,661.82
301,15431,1042,4,702.58
302,6926,7991,3,471.82
303,7777,2727,2,705.93
304,14962,3483,1,94.46
305,18953,6918,1,394.29
306,7888,3007,5,126.54
307,731,2567,4,430.49
308,10968,6674,1,218.87
309,14883,8294,2,284.22
310,13170,2712,5,679.1
311,12798,9652,1,641.56
312,1618,2574,5,995.96
313,4725,5793,2,980.95
314,12963,756,5,35.36
315,6679,1885,3,251.53
316,11580,608,2,447.04
317,18524,7856,4,325.89
318,6416,8803,1,971.54
319,1775,6429,4,127.17
320,15837,745,1,530.18
321,13165,4305,3,531.84
322,19973,3195,2,706.05
323,8916,2809,3,204.92
324,2340,3314,5,636.46
325,9399,6141,1,843.61
326,10234,4367,1,354.46
327,10069,4329,3,180.8
328,15715,7634,1,420.96
329,14278,236,5,330.92
330,5231,2926,3,175.74
331,9956,7146,3,375.22
