payment_id,order_id,payment_date,amount,payment_method
1,1,2024-02-14 16:57:59.561041,5947.08,cash
2,2,2024-05-26 09:28:56.835523,1319.19,cash
3,3,2024-03-22 13:59:23.758107,5108.51,card
4,4,2024-09-22 14:25:38.117836,0,card
5,5,2024-03-03 11:08:31.562462,3901.26,cash
6,6,2023-12-10 22:17:30.812444,3604.32,cash
7,7,2024-04-12 04:53:39.637279,2379.2,cash
8,8,2024-02-22 20:16:50.144031,1800.28,card
9,9,2024-05-27 06:31:00.751783,3466.41,card
10,10,2024-06-05 01:20:44.645968,4684.77,cash
11,11,2024-06-02 08:02:19.488489,658.03,card
12,12,2023-11-12 07:52:50.150183,6929.51,card
13,13,2024-07-08 11:07:51.164505,5011.02,card
14,14,2024-05-26 04:10:33.241566,7198.4,card
15,15,2023-10-20 05:14:29.509773,11611.79,card
16,16,2024-02-02 16:03:35.125445,5182.69,cash
17,17,2024-08-13 18:34:16.410410,2057.64,cash
18,18,2024-01-09 03:49:29.502540,3357.74,card
19,19,2024-02-20 21:48:39.740436,5241.95,card
20,20,2024-09-17 01:21:42.624433,7553.8,card
21,21,2024-02-29 23:47:42.030813,1671.22,card
22,22,2024-05-14 12:02:03.774232,2259.06,cash
23,23,2024-03-30 03:22:19.768508,1761.07,card
24,24,2024-02-17 13:51:21.570650,1894.17,card
25,25,2023-11-03 13:06:13.444361,7717.73,cash
26,26,2024-02-01 09:29:42.450959,4864.35,cash
27,27,2023-11-02 00:14:51.340703,1335.53,cash
28,28,2024-07-16 01:30:08.945764,8044.13,cash
29,29,2024-07-18 18:30:08.485165,584.5,cash
30,30,2024-07-29 20:50:17.147006,9555.89,card
31,31,2024-05-05 16:23:26.337104,1309.98,card
32,32,2024-06-19 00:06:56.699500,0,card
33,33,2023-10-30 14:56:36.391421,2800.77,card
34,34,2024-06-04 22:16:11.576591,2188.1,card
35,35,2024-06-02 06:18:31.878385,1634.01,cash
36,36,2023-12-08 23:10:30.751310,2795.67,cash
37,37,2024-01-18 18:34:48.700056,5287.76,cash
38,38,2024-06-18 11:04:26.655203,3398.06,card
39,39,2023-12-30 03:18:31.915575,0,cash
40,40,2024-06-19 20:27:05.360541,17157.95,cash
41,41,2023-12-01 19:13:55.719121,4910.37,cash
42,42,2024-10-01 16:12:19.296971,7187.19,cash
43,43,2024-05-03 06:07:57.767967,4869.86,card
44,44,2023-11-28 11:56:16.303556,7239.67,cash
45,45,2024-01-01 02:33:56.015145,5108.06,card
46,46,2024-09-10 15:31:19.926743,2653.84,card
47,47,2024-07-21 23:11:41.528879,0,card
48,48,2024-07-24 16:27:38.625438,0,card
49,49,2024-02-22 07:46:17.550571,12699.89,card
50,50,2024-07-12 00:43:02.973936,2361.35,card
51,51,2024-07-20 13:05:11.962999,3582.51,card
52,52,2023-11-21 03:33:37.484155,9905.43,card
53,53,2024-05-04 12:33:31.625311,6338.75,cash
54,54,2024-05-29 08:02:24.414142,2366.48,cash
55,55,2024-07-04 17:06:58.033760,3225.9,card
56,56,2024-07-15 09:47:38.597314,8092.96,cash
57,57,2024-02-21 07:22:28.897151,10609.59,cash
58,58,2024-06-08 21:09:55.586272,3838.6,cash
59,59,2024-08-30 02:55:10.156787,3400.04,card
60,60,2024-01-04 16:14:50.954320,1928.42,card
61,61,2023-11-07 23:58:48.702415,3247.43,card
62,62,2024-01-02 16:20:22.627242,3259.83,cash
63,63,2023-12-21 14:28:18.904793,861.16,card
64,64,2024-04-27 10:03:54.704341,8525.25,card
65,65,2024-05-15 22:20:11.100887,5749.68,cash
66,66,2024-04-22 04:24:56.784924,1804.79,card
67,67,2024-01-01 14:44:56.062806,4404.84,card
68,68,2023-12-27 12:25:37.036598,4880.95,cash
69,69,2024-05-16 19:18:50.476704,4485.71,card
70,70,2024-01-08 20:21:34.730874,3593.08,cash
71,71,2024-04-16 07:37:20.023411,991.97,card
72,72,2023-12-10 12:30:15.356658,2259.8,cash
73,73,2024-05-06 23:09:39.645863,3788.97,card
74,74,2023-12-29 15:33:34.491466,12330.96,cash
75,75,2024-06-24 01:22:11.249413,5210.36,card
76,76,2024-01-07 01:57:08.263337,907.17,cash
77,77,2024-07-09 07:48:42.514361,1019.72,cash
78,78,2024-04-07 00:40:37.052341,9756.41,card
79,79,2024-06-12 20:59:19.459489,1997.91,card
80,80,2023-10-26 04:08:29.654112,0,cash
81,81,2024-07-31 00:13:19.684444,2814.38,cash
82,82,2024-09-29 21:52:11.492470,4060.64,cash
83,83,2024-07-16 14:38:52.776672,3944.12,cash
84,84,2023-10-22 10:45:55.427786,5591.87,card
85,85,2024-04-01 14:36:18.321470,1933.67,card
86,86,2024-04-03 00:16:41.514519,2542.36,card
87,87,2024-07-11 15:58:27.419180,2332.92,cash
88,88,2024-05-24 05:15:50.831747,1959.94,cash
89,89,2024-10-03 02:19:37.256500,4511.9,cash
90,90,2023-11-21 21:22:28.751449,7642.94,card
91,91,2024-08-06 13:51:23.047508,4306.95,card
92,92,2023-12-01 11:54:07.107042,10997.96,cash
93,93,2023-10-16 07:03:30.382691,8047.34,cash
94,94,2024-05-14 10:56:56.886541,0,cash
95,95,2024-08-31 23:58:46.270293,2561.42,card
96,96,2024-02-17 17:07:50.670311,1036.99,cash
97,97,2024-04-23 04:15:09.458770,3783.04,cash
98,98,2024-07-07 12:24:10.660679,2390.56,cash
99,99,2024-09-16 14:17:03.289978,12918.18,card
100,100,2024-09-25 06:16:15.232659,12286.25,cash
101,101,2024-04-07 08:43:18.522375,2626.4,card
102,102,2023-10-12 08:27:15.542279,3749.41,card
103,103,2023-12-17 21:32:42.584567,0,card
104,104,2024-05-28 11:01:44.449003,5057.48,card
105,105,2024-02-13 02:12:49.012903,7557.65,cash
106,106,2024-08-04 05:50:43.616913,1041.45,card
107,107,2024-08-01 06:41:59.128962,4487.89,cash
108,108,2024-06-27 18:40:04.587262,3242.5,card
109,109,2024-09-18 13:48:39.976370,4274.14,card
110,110,2023-11-02 15:28:42.619925,1787.99,card
111,111,2023-10-30 00:41:58.625947,5730.0,card
112,112,2024-05-26 13:13:03.926900,4390.11,card
113,113,2024-02-20 21:44:57.655265,11546.28,cash
114,114,2024-06-07 04:04:53.123372,4055.05,card
115,115,2024-04-06 18:01:30.948688,3611.44,card
116,116,2024-08-31 09:11:24.942910,3105.16,cash
117,117,2024-04-17 23:41:49.545355,703.34,card
118,118,2024-09-08 16:44:26.540221,6073.87,cash
119,119,2023-10-28 13:10:32.283406,5502.49,cash
120,120,2024-05-02 23:45:56.584652,4681.7,card
121,121,2024-01-24 18:52:19.411989,10556.81,cash
122,122,2024-09-09 18:51:45.778430,4052.61,cash
123,123,2023-11-26 07:41:58.630247,2762.07,cash
124,124,2024-08-12 14:47:59.913101,2426.04,cash
125,125,2023-12-23 04:47:31.664181,6721.76,card
126,126,2024-03-01 04:28:16.204030,336.07,cash
127,127,2024-07-09 19:51:23.449229,11052.01,cash
128,128,2024-09-10 00:25:30.576620,0,card
129,129,2023-11-03 13:25:09.335287,4982.07,card
130,130,2023-11-26 12:59:29.579113,2251.76,card
131,131,2024-05-05 04:47:29.279799,4678.5,cash
132,132,2024-02-05 17:08:49.941717,1259.83,card
133,133,2024-09-02 22:58:42.223768,4242.62,card
134,134,2023-10-26 17:58:50.679727,855.99,cash
135,135,2024-08-25 12:46:55.737650,2557.14,cash
136,136,2024-03-18 15:20:55.480175,4104.64,card
137,137,2023-11-11 21:53:25.650024,2832.64,card
138,138,2023-12-06 13:54:54.866287,4544.27,cash
139,139,2023-12-11 09:26:09.245486,3406.84,card
140,140,2024-04-26 05:37:47.343769,11394.79,card
