product_id,name,description,price,quantity_in_stock,status,category_id,brand_id,created_at
1,Product 1,Member arm difference enter set.,763.76,34,available,20,13,2022-12-10 16:35:26.122409
2,Product 2,Political article describe away.,856.5,69,available,28,49,2023-07-09 16:35:40.940308
3,Product 3,Start produce though participant responsibility point.,553.73,76,available,86,16,2023-02-15 03:15:56.147376
4,Product 4,Report show must position.,947.96,19,available,65,32,2024-05-25 09:13:21.767353
5,Product 5,Them above behavior relate.,843.75,30,available,54,7,2022-11-08 06:30:52.547876
6,Product 6,Congress husband station term future purpose again I.,25.89,0,out_of_stock,24,11,2023-06-12 18:00:36.112971
7,Product 7,Test treat top federal heart party open language.,649.43,77,available,36,19,2022-12-20 22:54:19.087778
8,Product 8,Work not increase.,651.39,66,available,8,31,2023-10-17 17:03:18.130888
9,Product 9,Model sign sure quality suffer want age.,676.7,10,available,64,14,2024-01-06 12:41:16.824842
10,Product 10,Environmental response together party compare they camera.,467.17,61,out_of_stock,52,2,2024-04-01 10:02:31.253143
11,Product 11,Lot political religious her reality almost program.,479.18,75,available,29,33,2023-09-28 00:35:00.730290
12,Product 12,Into officer must that may doctor heavy.,368.15,32,available,33,1,2022-10-13 03:44:00.095528
13,Product 13,Charge together must race.,778.05,26,out_of_stock,99,49,2024-01-02 22:29:29.670730
14,Product 14,Spend idea alone between family.,651.77,49,out_of_stock,99,21,2024-01-08 01:15:24.185614
15,Product 15,Interest else thought about.,595.09,100,available,2,20,2024-05-13 15:04:42.476428
16,Product 16,Establish figure check would.,914.81,98,out_of_stock,14,45,2023-12-25 12:12:18.631680
17,Product 17,Account market top consumer million mother time computer.,653.17,83,available,21,38,2024-06-24 17:16:48.639557
18,Product 18,International information think sea baby former couple resource.,743.97,67,out_of_stock,86,23,2023-02-04 09:02:25.413094
19,Product 19,Material fact up detail fly listen central.,294.15,7,out_of_stock,85,16,2023-01-17 12:27:39.627723
20,Product 20,Eat probably indeed story education official pressure.,187.26,81,out_of_stock,9,46,2024-08-06 02:00:56.016043
21,Product 21,Skin nice far red then.,50.1,8,out_of_stock,48,3,2024-01-04 10:46:22.676762
22,Product 22,Local dream indicate tax.,304.37,52,out_of_stock,11,28,2022-11-13 17:58:15.221923
23,Product 23,Health marriage culture physical baby kind.,280.06,60,available,4,42,2023-05-19 10:58:32.514595
24,Product 24,Force race able point long maintain goal result.,533.41,71,out_of_stock,93,44,2024-05-30 07:38:03.934417
25,Product 25,Recently hospital fight defense next medical.,471.1,92,available,51,26,2023-09-03 21:08:44.605976
26,Product 26,More ok truth study work choice admit.,513.94,14,out_of_stock,69,40,2023-08-28 18:11:07.276943
27,Product 27,News must take simply military police sense.,41.22,18,available,3,41,2024-02-26 20:07:28.068974
28,Product 28,Practice stay adult western note history.,644.35,24,out_of_stock,45,18,2024-07-15 06:43:49.670461
29,Product 29,Sport fill or thousand class bag shoulder.,436.44,55,out_of_stock,51,2,2023-01-01 05:57:39.100096
30,Product 30,Feeling sea not prove play personal.,345.41,98,available,92,30,2024-09-26 15:21:47.390146
31,Product 31,Decade ok sit consider call cold game.,590.53,67,available,49,13,2022-11-18 02:00:32.258264
32,Product 32,Different leave leg.,763.69,98,available,85,17,2023-01-21 01:10:12.673972
33,Product 33,Do usually area.,979.67,28,out_of_stock,20,49,2023-06-09 03:34:46.980258
34,Product 34,Doctor talk event between glass body.,158.58,45,out_of_stock,2,40,2023-12-29 11:10:30.643768
35,Product 35,Right month voice work.,801.47,76,available,45,50,2024-01-29 20:28:11.587995
36,Product 36,Threat decade popular.,618.31,8,out_of_stock,29,13,2023-01-30 23:19:57.901123
37,Product 37,Understand manage author generation rate team organization material.,56.07,78,available,49,37,2023-06-16 06:43:29.478828
38,Product 38,Situation they only answer operation.,961.52,52,out_of_stock,45,25,2024-09-26 04:29:42.933175
39,Product 39,Cover catch these foreign perhaps beautiful.,163.22,35,out_of_stock,36,19,2023-02-16 12:29:51.358798
40,Product 40,Tax little single seem lot military effort everybody.,211.98,94,out_of_stock,6,13,2023-09-26 11:00:49.548128
41,Product 41,Blood early night shoulder boy become space.,416.78,55,available,77,22,2023-02-19 14:40:13.490606
42,Product 42,Have guy draw care detail physical health.,297.16,8,available,21,17,2024-04-17 07:41:14.125548
43,Product 43,They away phone floor policy.,456.39,82,out_of_stock,60,21,2023-11-02 22:43:45.514955
44,Product 44,Foot least what several Mrs.,877.86,28,out_of_stock,88,4,2023-04-20 10:20:31.752258
45,Product 45,Staff type begin seven appear.,255.4,68,out_of_stock,22,33,2024-05-29 07:12:12.192192
46,Product 46,Book land claim watch simple peace control safe.,850.05,50,out_of_stock,77,18,2023-12-14 22:37:08.759828
47,Product 47,Mouth actually raise door significant move risk.,377.19,38,available,81,20,2023-12-05 13:28:09.294092
48,Product 48,Yourself north stop history age large.,627.45,53,out_of_stock,10,40,2023-05-10 21:16:55.094494
49,Product 49,Stuff social single spring expect oil.,89.9,84,available,92,32,2024-03-29 15:00:56.751434
50,Product 50,Role sea order news.,441.13,82,available,29,9,2023-01-15 19:21:09.009645
51,Product 51,Member popular evidence degree matter take politics.,344.94,57,available,55,24,2023-12-16 11:24:57.339743
52,Product 52,Personal show Republican option sell entire.,36.51,38,available,79,7,2022-12-02 09:43:17.074055
53,Product 53,Still strong water through card change big.,348.99,24,available,52,44,2023-05-27 17:14:34.217599
54,Product 54,Suggest medical house keep animal positive spring.,557.22,96,available,1,2,2023-09-06 11:42:02.633821
55,Product 55,Good animal class bank.,389.51,77,available,8,24,2024-08-25 02:42:12.739790
56,Product 56,Move remain reduce culture find phone serve.,94.28,54,out_of_stock,48,40,2023-12-16 03:58:58.263956
57,Product 57,Ask instead we.,13.05,76,available,14,44,2022-11-04 00:14:35.462624
58,Product 58,Me drop sing marriage.,544.85,86,out_of_stock,39,40,2024-08-05 06:32:12.952910
59,Product 59,Dream argue church blood new nor.,350.55,36,out_of_stock,49,28,2023-02-27 22:44:16.888749
60,Product 60,Go central party address fire idea.,468.32,15,available,62,21,2023-12-28 06:23:23.680689
61,Product 61,Also explain woman read.,635.73,22,available,17,17,2023-07-09 15:50:13.036432
62,Product 62,Road board also kitchen smile color.,685.54,88,out_of_stock,23,42,2024-03-11 06:50:44.599072
63,Product 63,Foreign PM market such letter television water.,451.08,9,out_of_stock,75,4,2023-07-13 00:07:04.932436
64,Product 64,Data smile less.,918.28,31,out_of_stock,83,27,2024-08-09 05:03:19.813283
65,Product 65,Citizen similar audience eye boy pay.,743.73,17,out_of_stock,53,23,2024-07-31 03:36:24.631084
66,Product 66,Former hard chair large list behavior.,922.56,39,available,36,40,2024-03-07 11:45:53.938364
67,Product 67,Color stock religious maintain care.,418.41,72,available,84,47,2023-03-16 10:24:11.377997
68,Product 68,Bar pass religious poor drop coach gun.,809.0,5,out_of_stock,77,42,2024-02-11 09:29:03.175680
69,Product 69,Special drive until billion.,883.89,3,available,53,6,2024-01-25 18:19:41.635422
70,Product 70,Range list political candidate left will again how.,793.52,29,out_of_stock,73,33,2024-05-30 10:17:21.588628
71,Product 71,Statement summer live own task team.,153.88,3,out_of_stock,61,17,2023-09-03 10:24:53.828550
72,Product 72,Shake government project collection appear strategy serve.,259.72,37,out_of_stock,67,32,2023-07-26 10:21:53.255551
73,Product 73,Painting no attack and toward themselves money guess.,472.25,2,available,93,38,2024-06-23 10:24:02.263645
74,Product 74,Specific office lay again number.,813.2,35,out_of_stock,81,29,2023-07-15 00:11:30.919636
75,Product 75,And on any consumer yard affect.,642.71,89,out_of_stock,2,33,2024-07-15 22:57:55.237028
76,Product 76,Relationship tough strategy shake necessary finish.,545.42,3,out_of_stock,6,22,2024-08-17 05:07:44.603371
77,Product 77,Peace get then.,980.87,86,out_of_stock,88,24,2023-07-18 22:43:53.187076
78,Product 78,Might including drive read property else.,753.18,13,out_of_stock,15,36,2023-03-20 13:01:54.414247
79,Product 79,Subject job group must human.,49.61,69,available,53,40,2022-11-15 13:32:09.871481
80,Product 80,Could purpose situation statement individual.,178.55,42,out_of_stock,96,49,2024-04-08 11:30:28.153107
81,Product 81,Above rule but half.,616.14,93,out_of_stock,20,24,2023-10-31 02:53:10.685968
82,Product 82,Similar ground local brother build myself morning consider.,975.6,85,out_of_stock,79,6,2024-05-22 11:06:28.582342
83,Product 83,Skin consider myself bill drug blue reflect.,844.41,62,out_of_stock,48,34,2024-08-31 12:50:31.892781
84,Product 84,Knowledge environmental increase each outside picture.,948.7,72,out_of_stock,30,26,2023-10-27 20:59:16.126065
85,Product 85,Parent first live anything discover almost many.,348.38,37,out_of_stock,39,14,2023-09-20 02:38:27.227633
86,Product 86,Certain tax marriage number game result defense two.,194.98,80,available,19,29,2024-09-18 21:38:51.486285
87,Product 87,Research Mr production minute drop.,899.97,69,available,89,12,2024-09-29 15:41:26.914145
88,Product 88,Young create course blood watch.,169.96,59,out_of_stock,17,22,2022-12-01 23:02:14.838380
89,Product 89,Morning forget control race couple suggest these.,729.4,88,available,4,32,2023-10-20 04:40:29.699547
90,Product 90,Security democratic tend about behind.,208.25,54,available,40,25,2022-12-27 07:03:50.116801
91,Product 91,Right radio issue practice finish never.,214.57,57,available,33,25,2022-11-05 04:01:30.030393
92,Product 92,Any it something require turn.,308.34,16,out_of_stock,16,14,2022-10-23 19:54:36.097351
93,Product 93,Give address democratic social.,28.66,57,available,37,48,2024-07-03 00:31:48.114011
94,Product 94,Physical war court true.,905.42,9,available,71,15,2023-04-09 21:32:43.649875
95,Product 95,Fill allow poor none manager significant.,694.2,34,out_of_stock,39,11,2023-10-29 22:53:32.930403
96,Product 96,Which entire myself also find conference risk.,738.57,70,available,86,8,2024-09-24 00:32:39.748387
97,Product 97,Beautiful can nation want.,748.59,48,available,62,5,2023-09-20 09:14:03.919956
98,Product 98,Get us matter similar born.,243.39,100,available,90,29,2023-07-10 16:23:49.335413
99,Product 99,Order expert better peace since enough.,649.65,94,out_of_stock,26,24,2022-11-04 11:22:02.452104
100,Product 100,Item see tell manage wide middle.,726.38,92,out_of_stock,32,5,2024-07-05 16:49:20.805978
101,Product 101,Course very power development enough early ask.,193.66,49,out_of_stock,1,24,2023-12-09 21:49:00.254349
102,Product 102,Catch network likely.,135.26,78,available,27,7,2024-06-18 05:16:23.958569
103,Product 103,Deal low wonder add.,763.02,12,available,93,4,2023-02-16 19:35:33.754294
104,Product 104,Budget world across television family school everything.,874.92,94,available,24,9,2023-07-07 01:48:32.024506
105,Product 105,Sister condition somebody you left.,287.79,99,available,20,41,2023-10-22 15:34:27.980719
106,Product 106,Particular thought wide inside more.,105.7,66,out_of_stock,61,12,2024-05-27 12:36:46.215005
107,Product 107,Middle eat fall exactly purpose.,661.4,9,available,29,1,2022-10-19 08:57:57.289923
108,Product 108,Your production study realize nothing.,947.62,41,available,25,13,2022-11-16 20:24:36.195394
109,Product 109,Free teacher leader Congress.,595.64,33,available,63,20,2023-07-12 00:13:42.862850
110,Product 110,Huge home speak travel.,63.51,47,available,12,28,2023-03-10 16:43:30.977939
111,Product 111,All before operation effort material carry.,42.35,22,available,72,21,2024-07-05 02:50:55.286110
112,Product 112,Mean too glass Republican hot.,48.89,27,out_of_stock,77,28,2024-06-20 15:10:42.187576
113,Product 113,Life deal land minute war represent.,461.6,26,out_of_stock,36,28,2024-01-07 01:01:59.525224
114,Product 114,Affect as figure artist really.,719.83,32,out_of_stock,88,29,2024-07-08 22:06:52.906461
115,Product 115,Institution visit father field ready ready.,330.35,18,available,12,46,2024-07-26 19:43:33.318223
116,Product 116,Increase expect stand lawyer office write.,802.31,14,available,63,39,2023-02-12 05:01:27.668291
117,Product 117,Receive military section partner blue it newspaper.,342.4,33,available,11,39,2023-03-17 08:03:47.661499
118,Product 118,Religious camera determine science member.,268.73,49,out_of_stock,8,19,2023-04-20 02:06:10.877929
119,Product 119,Today local prevent people base believe national foot.,259.49,6,available,15,42,2024-04-04 08:52:49.440293
120,Product 120,Station attack firm majority.,657.15,75,out_of_stock,36,42,2023-03-19 08:35:55.943254
121,Product 121,Election recent particularly stuff organization.,91.09,15,out_of_stock,95,29,2024-09-10 18:17:37.484157
122,Product 122,Particular social former key size.,860.06,97,available,55,36,2024-02-08 16:13:17.461044
123,Product 123,Especially goal officer increase.,568.17,47,out_of_stock,61,21,2023-11-13 18:53:43.516564
124,Product 124,Race role wait according lose each.,612.65,54,out_of_stock,75,11,2024-03-21 03:44:44.698353
125,Product 125,Tell true defense risk.,213.72,25,available,34,3,2023-02-09 16:09:40.271158
126,Product 126,Both we hospital outside fire.,991.72,14,available,16,37,2022-11-30 03:45:38.644106
127,Product 127,Real though leave seek possible fear.,981.63,24,available,76,20,2023-08-03 13:16:40.884464
128,Product 128,Sure hour sell last leg heavy tough.,797.18,78,out_of_stock,56,23,2022-12-10 19:30:07.104503
129,Product 129,Father popular music professional.,420.19,91,available,21,5,2024-01-24 15:34:23.637589
130,Product 130,North between water shake.,275.59,31,out_of_stock,93,43,2024-05-27 15:14:31.555063
131,Product 131,Mother adult way new window share.,926.87,85,out_of_stock,58,18,2024-03-30 10:23:56.202736
132,Product 132,Race major notice.,108.4,1,out_of_stock,78,9,2023-05-20 06:04:05.889951
133,Product 133,Bring face save claim more down.,734.01,26,available,23,49,2024-05-20 22:49:41.461238
134,Product 134,Claim soldier everything second song senior employee.,443.1,83,out_of_stock,68,33,2023-11-24 05:35:45.667382
135,Product 135,Develop customer leg from indicate visit.,125.74,27,out_of_stock,92,10,2024-02-07 18:44:58.209647
136,Product 136,Time southern yard employee let.,579.15,43,out_of_stock,96,1,2023-12-24 04:07:53.844114
137,Product 137,Blue magazine large decade.,241.65,78,available,12,42,2024-09-09 17:42:50.108011
138,Product 138,Key boy day generation.,152.69,48,available,14,31,2023-03-02 00:11:51.789225
139,Product 139,Put structure business cover area to well.,300.0,26,out_of_stock,96,50,2023-11-20 20:39:56.712910
140,Product 140,Claim total say knowledge base huge nor staff.,354.52,39,available,26,40,2023-03-02 06:04:59.614932
141,Product 141,Enjoy hot space.,667.6,86,out_of_stock,86,25,2024-07-14 03:03:42.292394
142,Product 142,East believe own agency quite two reason.,228.36,89,out_of_stock,50,6,2022-12-06 18:30:37.164437
143,Product 143,Realize not this success.,178.48,9,available,40,16,2023-07-16 13:30:14.231524
144,Product 144,Song simply reveal miss.,600.23,10,out_of_stock,62,5,2023-05-31 19:03:56.041295
145,Product 145,Environment avoid reason serve fish tree.,800.42,54,out_of_stock,41,15,2024-09-06 11:02:50.700853
146,Product 146,Either serious onto there western policy.,922.08,58,available,37,31,2023-03-30 12:27:59.359670
147,Product 147,Group response could left.,618.44,78,out_of_stock,93,47,2024-01-08 21:34:54.826246
148,Product 148,Third whom visit recognize can.,460.26,77,available,11,13,2023-06-19 19:36:50.241214
149,Product 149,Special how need assume.,377.83,63,available,73,25,2023-05-16 18:32:28.675589
150,Product 150,Every such high whole front bit detail phone.,579.25,79,out_of_stock,100,42,2023-01-02 00:31:10.366390
151,Product 151,Window hit recently enjoy wrong season.,930.96,18,out_of_stock,100,18,2023-08-19 15:48:38.303372
152,Product 152,Fund morning hope.,497.09,82,available,77,46,2023-04-02 11:20:17.934354
153,Product 153,Sister create civil wide leave support.,366.45,18,out_of_stock,10,25,2023-03-09 13:33:19.613954
154,Product 154,Education rock Congress even billion college.,201.27,91,available,98,14,2023-07-17 05:30:51.837062
155,Product 155,Option woman money manager dog.,366.1,51,out_of_stock,81,47,2024-09-29 14:44:54.728918
156,Product 156,Doctor state thus laugh whose big.,107.79,75,out_of_stock,31,34,2023-08-26 02:30:35.036402
157,Product 157,Imagine impact affect reflect event.,457.75,32,available,23,5,2022-12-24 04:44:55.349426
158,Product 158,Event fund little prevent item.,284.64,56,out_of_stock,3,15,2022-12-01 21:54:34.343538
159,Product 159,Less child product alone get effort.,409.3,39,available,50,4,2023-01-18 02:47:18.309009
160,Product 160,Picture range impact great reach guess.,775.96,97,available,100,17,2024-02-14 08:55:35.843409
161,Product 161,Land about suddenly necessary table represent fish.,616.04,41,out_of_stock,86,46,2024-08-06 07:12:41.481336
162,Product 162,Air per successful deep from.,715.96,55,out_of_stock,67,32,2023-08-14 19:32:35.285727
163,Product 163,Almost news store record general good value boy.,613.09,92,available,25,48,2024-09-28 18:32:28.117512
164,Product 164,Attorney kid between nation risk more player.,763.92,45,out_of_stock,38,8,2023-02-26 05:38:33.290262
165,Product 165,Answer again statement soon.,251.36,53,available,80,25,2024-06-26 17:23:19.474518
166,Product 166,Writer general fund sometimes bring.,710.88,23,available,93,9,2023-04-27 19:49:52.910463
167,Product 167,Reflect us its street administration glass.,356.55,72,out_of_stock,70,17,2023-08-22 07:46:45.717274
168,Product 168,Mention your on collection building hand wait others.,917.64,40,available,2,9,2024-07-17 11:57:44.855929
169,Product 169,Tonight father notice.,516.22,42,available,62,47,2023-05-16 07:51:38.897218
170,Product 170,Prove share half education.,421.49,75,available,54,10,2022-11-11 14:44:56.699099
171,Product 171,Movie apply today spend.,788.31,63,available,92,41,2023-09-04 16:27:23.594691
172,Product 172,Test together physical score hand.,724.26,35,available,66,40,2023-10-20 21:57:54.996463
173,Product 173,Site box bill across.,17.21,11,out_of_stock,12,27,2023-12-04 18:32:40.084517
174,Product 174,Administration summer car.,327.63,62,available,35,40,2023-04-20 16:21:23.769323
175,Product 175,Which public child remember law job office.,201.27,14,available,69,20,2024-03-06 10:44:40.675366
